,date,high,low,open,close,volume,adjclose,formatted_date,ticker,type
1008,1068724800,19115.0,18677.0,18795.0,18755.0,0.0,18755.0,2003-11-13,^BVSP,INDEX
1009,1068811200,19052.0,18712.0,18763.0,18986.0,0.0,18986.0,2003-11-14,^BVSP,INDEX
1010,1069070400,18985.0,18648.0,18985.0,18669.0,0.0,18669.0,2003-11-17,^BVSP,INDEX
1011,1069156800,19022.0,18669.0,18669.0,18813.0,0.0,18813.0,2003-11-18,^BVSP,INDEX
1012,1069243200,18857.0,18610.0,18819.0,18807.0,0.0,18807.0,2003-11-19,^BVSP,INDEX
1013,1069329600,19262.0,18815.0,18815.0,19199.0,0.0,19199.0,2003-11-20,^BVSP,INDEX
1014,1069416000,19376.0,19144.0,19197.0,19248.0,0.0,19248.0,2003-11-21,^BVSP,INDEX
1015,1069675200,19730.0,19258.0,19258.0,19691.0,0.0,19691.0,2003-11-24,^BVSP,INDEX
1016,1069761600,19820.0,19615.0,19694.0,19810.0,0.0,19810.0,2003-11-25,^BVSP,INDEX
1017,1069848000,20002.0,19667.0,19810.0,19695.0,0.0,19695.0,2003-11-26,^BVSP,INDEX
1018,1069934400,19961.0,19616.0,19695.0,19961.0,0.0,19961.0,2003-11-27,^BVSP,INDEX
1019,1070020800,20188.0,19848.0,19962.0,20184.0,0.0,20184.0,2003-11-28,^BVSP,INDEX
1020,1070280000,20522.0,20184.0,20184.0,20521.0,0.0,20521.0,2003-12-01,^BVSP,INDEX
1021,1070366400,20630.0,20354.0,20523.0,20458.0,0.0,20458.0,2003-12-02,^BVSP,INDEX
1022,1070452800,20586.0,20322.0,20462.0,20540.0,0.0,20540.0,2003-12-03,^BVSP,INDEX
1023,1070539200,20570.0,20323.0,20540.0,20414.0,0.0,20414.0,2003-12-04,^BVSP,INDEX
1024,1070625600,20922.0,20418.0,20418.0,20880.0,0.0,20880.0,2003-12-05,^BVSP,INDEX
1025,1070884800,20937.0,20673.0,20882.0,20889.0,0.0,20889.0,2003-12-08,^BVSP,INDEX
1026,1070971200,21363.0,20889.0,20889.0,21260.0,0.0,21260.0,2003-12-09,^BVSP,INDEX
1027,1071057600,21394.0,20930.0,21258.0,20973.0,0.0,20973.0,2003-12-10,^BVSP,INDEX
1028,1071144000,21459.0,20971.0,20971.0,21296.0,0.0,21296.0,2003-12-11,^BVSP,INDEX
1029,1071230400,21514.0,20873.0,21296.0,20974.0,0.0,20974.0,2003-12-12,^BVSP,INDEX
1030,1071489600,21381.0,20709.0,20974.0,20710.0,0.0,20710.0,2003-12-15,^BVSP,INDEX
1031,1071576000,20842.0,20544.0,20710.0,20760.0,0.0,20760.0,2003-12-16,^BVSP,INDEX
1032,1071662400,21318.0,20763.0,20763.0,21199.0,0.0,21199.0,2003-12-17,^BVSP,INDEX
1033,1071748800,21502.0,21195.0,21199.0,21489.0,0.0,21489.0,2003-12-18,^BVSP,INDEX
1034,1071835200,21671.0,21381.0,21489.0,21386.0,0.0,21386.0,2003-12-19,^BVSP,INDEX
1035,1072094400,21630.0,21344.0,21386.0,21630.0,0.0,21630.0,2003-12-22,^BVSP,INDEX
1036,1072180800,21914.0,21631.0,21631.0,21688.0,0.0,21688.0,2003-12-23,^BVSP,INDEX
1037,1072267200,,,,,,,2003-12-24,^BVSP,INDEX
1038,1072353600,,,,,,,2003-12-25,^BVSP,INDEX
1039,1072440000,21829.0,21688.0,21688.0,21807.0,0.0,21807.0,2003-12-26,^BVSP,INDEX
1040,1072699200,22046.0,21815.0,21815.0,22045.0,0.0,22045.0,2003-12-29,^BVSP,INDEX
1041,1072785600,22310.0,22051.0,22051.0,22236.0,0.0,22236.0,2003-12-30,^BVSP,INDEX
1042,1072872000,,,,,,,2003-12-31,^BVSP,INDEX
1043,1072958400,,,,,,,2004-01-01,^BVSP,INDEX
1044,1073044800,22450.0,22208.0,22233.0,22445.0,0.0,22445.0,2004-01-02,^BVSP,INDEX
1045,1073304000,23532.0,22445.0,22445.0,23532.0,0.0,23532.0,2004-01-05,^BVSP,INDEX
1046,1073390400,23976.0,23180.0,23532.0,23576.0,0.0,23576.0,2004-01-06,^BVSP,INDEX
1047,1073476800,23899.0,23320.0,23576.0,23320.0,0.0,23320.0,2004-01-07,^BVSP,INDEX
1048,1073563200,23718.0,23122.0,23334.0,23717.0,0.0,23717.0,2004-01-08,^BVSP,INDEX
1049,1073649600,24088.0,23710.0,23722.0,23917.0,0.0,23917.0,2004-01-09,^BVSP,INDEX
1050,1073908800,24323.0,23892.0,23896.0,24237.0,0.0,24237.0,2004-01-12,^BVSP,INDEX
1051,1073995200,24518.0,23867.0,24237.0,23940.0,0.0,23940.0,2004-01-13,^BVSP,INDEX
1052,1074081600,24010.0,22878.0,23947.0,23399.0,0.0,23399.0,2004-01-14,^BVSP,INDEX
1053,1074168000,23400.0,22962.0,23400.0,22962.0,0.0,22962.0,2004-01-15,^BVSP,INDEX
1054,1074254400,23243.0,22687.0,22964.0,23155.0,0.0,23155.0,2004-01-16,^BVSP,INDEX
1055,1074513600,23493.0,23090.0,23162.0,23385.0,0.0,23385.0,2004-01-19,^BVSP,INDEX
1056,1074600000,23724.0,23382.0,23382.0,23679.0,0.0,23679.0,2004-01-20,^BVSP,INDEX
1057,1074686400,23680.0,23213.0,23680.0,23302.0,0.0,23302.0,2004-01-21,^BVSP,INDEX
1058,1074772800,23299.0,22682.0,23299.0,22969.0,0.0,22969.0,2004-01-22,^BVSP,INDEX
1059,1074859200,23515.0,22740.0,22969.0,23471.0,0.0,23471.0,2004-01-23,^BVSP,INDEX
1060,1075118400,24350.0,23471.0,23471.0,24350.0,0.0,24350.0,2004-01-26,^BVSP,INDEX
1061,1075204800,24473.0,23908.0,24355.0,24226.0,0.0,24226.0,2004-01-27,^BVSP,INDEX
1062,1075291200,24460.0,23787.0,24226.0,23852.0,0.0,23852.0,2004-01-28,^BVSP,INDEX
1063,1075377600,23859.0,22300.0,23849.0,22386.0,0.0,22386.0,2004-01-29,^BVSP,INDEX
1064,1075464000,22615.0,21649.0,22384.0,21851.0,0.0,21851.0,2004-01-30,^BVSP,INDEX
1065,1075723200,21867.0,21336.0,21842.0,21787.0,0.0,21787.0,2004-02-02,^BVSP,INDEX
1066,1075809600,22287.0,21794.0,21794.0,22281.0,0.0,22281.0,2004-02-03,^BVSP,INDEX
1067,1075896000,22718.0,21555.0,22289.0,21685.0,0.0,21685.0,2004-02-04,^BVSP,INDEX
1068,1075982400,21909.0,21077.0,21685.0,21092.0,0.0,21092.0,2004-02-05,^BVSP,INDEX
1069,1076068800,21969.0,20598.0,21092.0,21969.0,0.0,21969.0,2004-02-06,^BVSP,INDEX
1070,1076328000,22493.0,21853.0,21970.0,21962.0,0.0,21962.0,2004-02-09,^BVSP,INDEX
1071,1076414400,22216.0,21694.0,21936.0,22171.0,0.0,22171.0,2004-02-10,^BVSP,INDEX
1072,1076500800,23241.0,22057.0,22173.0,23197.0,0.0,23197.0,2004-02-11,^BVSP,INDEX
1073,1076587200,23374.0,22929.0,23197.0,23063.0,0.0,23063.0,2004-02-12,^BVSP,INDEX
1074,1076673600,23230.0,22188.0,23067.0,22530.0,0.0,22530.0,2004-02-13,^BVSP,INDEX
1075,1076936400,22530.0,21901.0,22530.0,22189.0,0.0,22189.0,2004-02-16,^BVSP,INDEX
1076,1077022800,22520.0,22017.0,22195.0,22426.0,0.0,22426.0,2004-02-17,^BVSP,INDEX
1077,1077109200,22668.0,21899.0,22430.0,22000.0,0.0,22000.0,2004-02-18,^BVSP,INDEX
1078,1077195600,21998.0,20877.0,21998.0,20951.0,0.0,20951.0,2004-02-19,^BVSP,INDEX
1079,1077282000,21342.0,20092.0,20949.0,21337.0,0.0,21337.0,2004-02-20,^BVSP,INDEX
1080,1077541200,,,,,,,2004-02-23,^BVSP,INDEX
1081,1077627600,,,,,,,2004-02-24,^BVSP,INDEX
1082,1077714000,21732.0,21341.0,21341.0,21609.0,0.0,21609.0,2004-02-25,^BVSP,INDEX
1083,1077800400,21608.0,21180.0,21608.0,21450.0,0.0,21450.0,2004-02-26,^BVSP,INDEX
1084,1077886800,21755.0,21448.0,21455.0,21755.0,0.0,21755.0,2004-02-27,^BVSP,INDEX
1085,1078146000,22528.0,21761.0,21761.0,22499.0,0.0,22499.0,2004-03-01,^BVSP,INDEX
1086,1078232400,22714.0,21942.0,22496.0,22442.0,0.0,22442.0,2004-03-02,^BVSP,INDEX
1087,1078318800,22801.0,22191.0,22442.0,22550.0,0.0,22550.0,2004-03-03,^BVSP,INDEX
1088,1078405200,22753.0,22256.0,22542.0,22393.0,0.0,22393.0,2004-03-04,^BVSP,INDEX
1089,1078491600,22937.0,22349.0,22397.0,22873.0,0.0,22873.0,2004-03-05,^BVSP,INDEX
1090,1078750800,23373.0,22874.0,22874.0,22993.0,0.0,22993.0,2004-03-08,^BVSP,INDEX
1091,1078837200,23094.0,22503.0,22993.0,22674.0,0.0,22674.0,2004-03-09,^BVSP,INDEX
1092,1078923600,22674.0,21670.0,22674.0,21670.0,0.0,21670.0,2004-03-10,^BVSP,INDEX
1093,1079010000,21750.0,20756.0,21673.0,20763.0,0.0,20763.0,2004-03-11,^BVSP,INDEX
